id;long_hilo;orden_oscilaciones;tiempo;hora_realizar
1;Medio;1;1.03;M
1;Medio;5;5.59;M
1;Medio;10;11.16;M
2;Largo;1;1.32;M
2;Largo;5;6.84;M
2;Largo;10;13.5;M
3;Corto;1;0.53;M
3;Corto;5;3.96;M
3;Corto;10;7.31;M
4;Largo;1;1.37;M
4;Largo;5;5.53;M
4;Largo;10;12.31;M
5;Largo;1;1.22;M
5;Largo;5;6.75;M
5;Largo;10;13.81;M
6;Corto;1;0.78;T
6;Corto;5;4.07;T
6;Corto;10;8.16;T
7;Corto;1;0.91;T
7;Corto;5;4.03;T
7;Corto;10;7.22;T
8;Medio;1;1.06;T
8;Medio;5;5.66;T
8;Medio;10;11.28;T
9;Largo;1;1.33;T
9;Largo;5;6.87;T
9;Largo;10;13.56;T
10;Medio;1;1.07;T
10;Medio;5;4.56;T
10;Medio;10;10.07;T
11;Medio;1;1.31;T
11;Medio;5;5.59;T
11;Medio;10;11.19;T
12;Medio;1;1.28;T
12;Medio;5;4.5;T
12;Medio;10;10.16;T
13;Medio;1;1.22;T
13;Medio;5;5.56;T
13;Medio;10;10.13;T
14;Corto;1;0.81;T
14;Corto;5;3.91;T
14;Corto;10;7.94;T
15;Corto;1;0.72;T
15;Corto;5;4.06;T
15;Corto;10;7.75;T
16;Largo;1;0.72;M
16;Largo;5;4.06;M
16;Largo;10;7.75;M
17;Corto;1;1.37;M
17;Corto;5;6.84;M
17;Corto;10;13.4;M
18;Largo;1;0.94;T
18;Largo;5;4.32;T
18;Largo;10;7.6;T
19;Largo;1;1.19;T
19;Largo;5;7.88;T
19;Largo;10;16.75;T
20;Largo;1;1.31;T
20;Largo;5;6.75;T
20;Largo;10;12.19;T
21;Corto;1;1.32;T
21;Corto;5;5.28;T
21;Corto;10;12.15;T
22;Medio;1;0.75;T
22;Medio;5;3.48;T
22;Medio;10;7;T
23;Corto;1;1.06;T
23;Corto;5;4.47;T
23;Corto;10;9.97;T
24;Corto;1;0.94;T
24;Corto;5;3.38;T
24;Corto;10;8.13;T
25;Corto;1;0.84;T
25;Corto;5;4.06;T
25;Corto;10;8;T
26;Medio;1;0.85;T
26;Medio;5;3.84;T
26;Medio;10;8.09;T
27;Medio;1;0.97;T
27;Medio;5;5.69;T
27;Medio;10;11.25;T
28;Largo;1;1.09;T
28;Largo;5;4.94;T
28;Largo;10;10.28;T
29;Medio;1;1.16;T
29;Medio;5;6.78;T
29;Medio;10;13.72;T
30;Largo;1;1.06;T
30;Largo;5;5.53;T
30;Largo;10;11.13;T
